source http://matplotlib.org/api/markers_api.html


”.” 	point
”,” 	pixel
“o” 	circle
“v” 	triangle_down
“^” 	triangle_up
“<” 	triangle_left
“>” 	triangle_right
“1” 	tri_down
“2” 	tri_up
“3” 	tri_left
“4” 	tri_right
“8” 	octagon
“s” 	square
“p” 	pentagon
“*” 	star
“h” 	hexagon1
“H” 	hexagon2
“+” 	plus
“x” 	x
“D” 	diamond
“d” 	thin_diamond
“|” 	vline
“_” 	hline
TICKLEFT 	tickleft
TICKRIGHT 	tickright
TICKUP 	tickup
TICKDOWN 	tickdown
CARETLEFT 	caretleft
CARETRIGHT 	caretright
CARETUP 	caretup
CARETDOWN 	caretdown
“None” 	nothing
None 	nothing
” “ 	nothing
“” 	nothing
'$...$' 	render the string using mathtext.
verts 	a list of (x, y) pairs used for Path vertices. The center of the marker is located at (0,0) and the size is normalized.
path 	a Path instance.
(numsides, style, angle) 	see below
